summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Deadly Plumaged,508,"('PLATINUM', 'III', 21)",False,542.1,5318905769,971,True
ısa,354,"('PLATINUM', 'III', 85)",False,548.5,5318905769,971,True
akalie best girl,58,"('PLATINUM', 'II', 0)",False,560.0,5318905769,971,True
Unleashed GA3,165,"('PLATINUM', 'III', 90)",False,549.0,5318905769,971,True
denkishh,169,"('DIAMOND', 'IV', 0)",False,620.0,5318905769,971,True
BeastGamerzs,189,"('PLATINUM', 'II', 0)",False,560.0,5318905769,971,False
sh1ngoo,98,"('PLATINUM', 'III', 26)",False,542.6,5318905769,971,False
I  SIKERIM  I,342,"('PLATINUM', 'I', 15)",True,581.5,5318905769,971,False
Kaiy zix,181,"('PLATINUM', 'IV', 53)",False,525.3,5318905769,971,False
Elma Agacı,83,"('GOLD', 'II', 83)",False,468.3,5318905769,971,False
