MMR player 0,MMR player 1,MMR player 2,MMR player 3,MMR player 4,MMR player 5,MMR player 6,MMR player 7,MMR player 8,MMR player 9,streak player 0,streak player 1,streak player 2,streak player 3,streak player 4,streak player 5,streak player 6,streak player 7,streak player 8,streak player 9,DURATION
265.9,228.3,244.7,281.5,264.9,287.7,183.1,267.5,248.4,264.6,0,0,0,0,0,0,0,0,0,0,1473
384.4,361.2,369.9,365.5,380.0,366.2,340.2,360.4,364.4,347.0,0,0,0,0,0,0,0,0,0,0,1625
266.4,227.5,280.0,280.6,280.0,262.8,265.9,265.1,241.8,261.1,0,0,0,1,0,0,0,0,0,0,1012
384.5,382.3,367.1,346.6,383.3,329.2,363.6,346.6,326.8,425.7,0,0,0,0,0,1,0,0,0,0,1988
442.1,480.2,443.3,460.4,462.8,461.4,426.2,426.3,444.5,441.0,0,0,0,0,0,0,0,0,0,0,1711
367.0,345.8,320.1,363.1,343.0,342.9,325.0,323.5,287.2,329.2,1,0,1,1,0,0,0,0,0,0,1945
321.9,321.3,322.8,266.0,322.8,327.0,324.1,322.8,288.5,341.0,0,0,0,0,0,0,0,0,0,0,2273
480.0,424.3,443.7,446.6,428.6,421.6,526.5,484.2,360.8,422.3,0,0,0,0,0,0,0,0,0,0,902
360.0,367.5,344.5,380.0,349.0,369.9,367.2,381.3,380.2,346.1,0,0,0,0,0,0,0,0,0,0,1940
263.5,284.0,281.0,288.0,266.9,247.1,243.4,265.6,282.9,283.8,0,0,0,0,0,0,0,0,1,1,1749
420.0,464.4,323.3,520.0,345.5,421.0,383.5,363.3,363.5,421.4,0,0,0,0,0,0,1,0,0,0,1660
241.5,320.0,320.0,326.8,325.7,247.5,265.9,266.8,263.8,281.1,0,0,0,0,0,0,0,0,0,0,1590
382.7,363.8,390.0,424.7,388.7,364.4,320.0,367.6,364.0,360.0,0,0,0,0,0,0,0,0,0,0,1824
426.8,425.4,420.5,421.4,421.0,365.8,461.4,390.0,420.7,423.1,0,0,0,0,0,0,0,0,0,0,1865
360.0,427.5,443.6,389.4,383.7,424.6,421.2,426.1,420.0,420.0,0,0,0,1,1,0,0,0,0,0,1296
345.9,340.6,362.4,360.6,344.5,360.0,364.2,366.0,345.0,360.6,0,0,0,0,0,0,0,0,0,0,1911
481.0,527.9,523.3,520.0,521.4,523.0,490.0,521.7,520.0,521.4,0,0,0,0,0,0,1,0,0,0,1854
422.6,421.0,422.1,380.9,461.7,467.9,346.1,424.8,388.4,361.7,0,0,1,0,0,1,0,0,0,0,2691
325.3,328.9,282.5,323.8,321.2,347.7,343.7,325.3,241.6,321.1,0,0,0,0,0,1,0,0,0,0,1837
343.1,381.6,343.9,344.9,365.7,361.3,348.8,360.7,341.6,340.0,0,1,0,0,1,0,0,0,0,0,2071
486.8,526.8,540.0,521.6,481.5,520.0,527.4,521.6,466.5,484.6,0,0,0,0,0,0,0,0,0,0,2047
440.0,421.5,384.8,427.4,441.5,420.0,424.8,367.5,424.5,420.2,0,0,0,0,0,0,0,0,0,0,1681
223.8,227.2,222.2,224.3,246.1,228.3,246.0,243.6,224.9,246.4,0,0,0,0,0,1,0,0,0,0,1609
446.5,422.5,421.8,463.0,460.0,442.4,462.7,424.4,427.5,444.5,0,0,0,0,0,0,0,0,0,0,1327
369.6,426.8,345.9,388.9,369.6,425.1,423.1,344.7,326.1,422.3,0,0,0,0,0,0,0,1,0,0,1896
390.0,364.9,362.1,362.5,420.1,423.0,380.2,380.3,422.9,381.5,0,0,0,1,0,0,0,0,0,0,1820
429.3,361.2,481.7,425.6,420.0,421.2,449.2,366.1,480.7,443.9,0,0,0,0,0,0,0,0,0,1,1698
246.6,243.9,260.0,262.8,261.6,262.9,267.5,263.8,247.4,260.9,0,0,0,0,1,0,0,0,0,0,1422
523.6,527.5,520.1,526.0,543.2,487.1,520.1,541.8,544.3,485.2,0,0,0,0,1,0,0,0,0,1,1550
362.7,363.0,349.9,340.0,362.7,390.0,322.1,342.1,345.6,362.9,0,0,0,0,0,0,1,0,0,0,1956
327.5,347.7,360.9,340.7,362.3,341.6,327.5,341.7,346.3,347.5,0,0,0,0,0,0,0,0,0,0,1773
440.9,445.9,423.3,427.0,423.7,441.4,445.2,390.0,440.1,426.3,0,0,0,0,0,0,0,0,0,0,1638
220.4,383.9,322.4,281.9,320.0,346.9,340.3,289.3,344.3,322.7,0,1,0,0,0,1,1,0,0,0,1547
